id,temperature,humidity,datetime
1,30.1,53.0,2025-08-21 16:30:28
1,27.5,63.6,2025-08-21 16:30:33
1,28.9,62.3,2025-08-21 16:30:38
1,25.0,54.7,2025-08-21 16:30:43
1,34.1,57.0,2025-08-21 16:30:48
1,26.5,54.9,2025-08-21 16:30:53
1,32.4,53.4,2025-08-21 16:30:58
1,29.8,66.8,2025-08-21 16:31:03
1,28.8,66.0,2025-08-21 16:31:08
1,27.7,61.6,2025-08-21 16:31:13
1,34.2,58.7,2025-08-21 16:31:18
1,34.6,64.7,2025-08-21 16:31:23
1,34.8,61.5,2025-08-21 16:31:28
1,25.9,68.5,2025-08-21 16:31:33
1,34.0,63.0,2025-08-21 16:31:38
1,25.7,67.3,2025-08-21 16:31:43
1,34.9,56.5,2025-08-21 16:31:48
1,27.5,55.1,2025-08-21 16:31:53
1,34.7,65.1,2025-08-21 16:31:58
1,34.7,58.1,2025-08-21 16:32:03
1,34.7,52.8,2025-08-21 16:32:08
1,26.4,57.6,2025-08-21 16:32:13
1,33.3,63.6,2025-08-21 16:32:18
1,28.8,69.0,2025-08-21 16:32:23
1,31.0,50.0,2025-08-21 16:32:28
1,27.0,68.4,2025-08-21 16:32:33
1,32.6,68.9,2025-08-21 16:32:38
1,34.0,65.0,2025-08-21 16:32:43
1,28.8,62.1,2025-08-21 16:32:48
1,33.4,69.9,2025-08-21 16:32:53
1,31.8,63.9,2025-08-21 16:32:58
1,27.1,51.1,2025-08-21 16:33:03
1,27.8,66.5,2025-08-21 16:33:08
1,28.7,59.6,2025-08-21 16:33:13
1,34.0,53.6,2025-08-21 16:33:18
1,28.3,64.8,2025-08-21 16:33:23
1,33.4,63.1,2025-08-21 16:33:28
1,26.1,63.5,2025-08-21 16:33:33
1,26.5,62.3,2025-08-21 16:33:38
1,34.2,55.8,2025-08-21 16:33:43
1,26.3,50.0,2025-08-21 16:33:48
1,34.2,62.7,2025-08-21 16:33:53
1,27.8,50.9,2025-08-21 16:33:58
1,25.1,63.4,2025-08-21 16:34:03
1,29.8,51.1,2025-08-21 16:34:08
1,30.5,57.3,2025-08-21 16:34:13
1,32.4,57.2,2025-08-21 16:34:18
1,26.3,69.6,2025-08-21 16:34:23
1,27.3,57.0,2025-08-21 16:34:28
1,28.8,60.9,2025-08-21 16:34:33
1,34.4,58.7,2025-08-21 16:34:38
1,30.7,60.6,2025-08-21 16:34:43
1,31.2,64.9,2025-08-21 16:34:48
1,30.1,68.2,2025-08-21 16:34:53
1,25.9,53.9,2025-08-21 16:34:58
1,32.6,66.2,2025-08-21 16:35:03
1,33.3,53.5,2025-08-21 16:35:08
1,32.0,60.9,2025-08-21 16:35:13
1,29.8,68.0,2025-08-21 16:35:18
1,32.6,59.6,2025-08-21 16:35:23
1,33.6,64.7,2025-08-21 16:35:28
1,34.4,51.9,2025-08-21 16:35:33
1,34.9,69.7,2025-08-21 16:35:38
1,26.9,58.7,2025-08-21 16:35:43
1,28.2,62.0,2025-08-21 16:35:48
1,32.6,65.1,2025-08-21 16:35:53
1,29.1,69.7,2025-08-21 16:35:58
1,28.4,56.5,2025-08-21 16:36:03
1,33.7,55.9,2025-08-21 16:36:08
1,27.4,55.8,2025-08-21 16:36:13
1,27.3,61.5,2025-08-21 16:36:18
1,32.5,65.2,2025-08-21 16:36:23
1,29.0,65.8,2025-08-21 16:36:28
1,34.0,64.3,2025-08-21 16:36:33
1,27.5,55.5,2025-08-21 16:36:38
1,25.2,51.5,2025-08-21 16:36:43
1,29.9,57.0,2025-08-21 16:36:48
1,26.4,56.5,2025-08-21 16:36:53
1,30.0,69.9,2025-08-21 16:36:58
1,30.8,67.4,2025-08-21 16:37:03
1,31.4,63.3,2025-08-21 16:37:08
1,32.7,64.1,2025-08-21 16:37:13
1,32.3,65.7,2025-08-21 16:37:18
1,25.6,58.7,2025-08-21 16:37:23
1,29.8,68.2,2025-08-21 16:37:28
1,26.5,52.6,2025-08-21 16:37:33
1,34.6,55.4,2025-08-21 16:37:38
1,27.4,51.4,2025-08-21 16:37:43
1,28.1,60.5,2025-08-21 16:37:48
1,30.0,63.2,2025-08-21 16:37:53
1,28.0,64.7,2025-08-21 16:37:58
1,29.9,67.1,2025-08-21 16:38:03
1,25.2,62.4,2025-08-21 16:38:08
1,29.8,54.5,2025-08-21 16:38:13
1,29.8,65.5,2025-08-21 16:38:18
1,32.6,57.6,2025-08-21 16:38:23
1,25.4,67.1,2025-08-21 16:38:28
1,34.7,68.1,2025-08-21 16:38:33
1,28.9,68.6,2025-08-21 16:38:38
1,33.0,60.6,2025-08-21 16:38:43
1,30.6,59.0,2025-08-21 16:38:48
1,30.7,50.2,2025-08-21 16:38:53
1,33.1,50.9,2025-08-21 16:38:58
1,29.3,60.8,2025-08-21 16:39:03
1,29.9,65.6,2025-08-21 16:39:08
1,25.0,55.6,2025-08-21 16:39:13
1,30.7,52.8,2025-08-21 16:39:18
1,25.8,64.9,2025-08-21 16:39:23
1,34.1,52.6,2025-08-21 16:39:28
1,26.7,51.6,2025-08-21 16:39:33
1,33.7,59.8,2025-08-21 16:39:38
1,28.1,62.4,2025-08-21 16:39:43
1,26.8,53.9,2025-08-21 16:39:48
1,28.8,60.0,2025-08-21 16:39:53
1,28.8,60.0,2025-08-21 16:39:58
1,28.8,69.0,2025-08-21 16:40:03
1,32.0,66.8,2025-08-21 16:40:08
1,28.3,66.9,2025-08-21 16:40:13
1,25.5,66.2,2025-08-21 16:40:18
1,34.0,61.2,2025-08-21 16:40:23
1,26.5,56.3,2025-08-21 16:40:28
1,32.9,50.9,2025-08-21 16:40:33
1,29.5,55.1,2025-08-21 16:40:38
1,34.8,66.9,2025-08-21 16:40:43
1,32.7,67.2,2025-08-21 16:40:48
1,26.8,67.3,2025-08-21 16:40:53
1,29.7,53.5,2025-08-21 16:40:58
1,25.5,54.9,2025-08-21 16:41:03
1,34.7,54.9,2025-08-21 16:41:08
1,30.7,54.6,2025-08-21 16:41:13
1,34.9,69.7,2025-08-21 16:41:18
1,34.8,52.4,2025-08-21 16:41:23
1,31.3,61.5,2025-08-21 16:41:28
1,32.0,63.2,2025-08-21 16:41:33
1,28.0,65.6,2025-08-21 16:41:38
1,26.1,69.6,2025-08-21 16:41:43
1,30.4,58.7,2025-08-21 16:41:48
1,25.2,62.6,2025-08-21 16:41:53
1,29.1,59.0,2025-08-21 16:41:58
1,33.2,67.9,2025-08-21 16:42:03
1,33.0,64.4,2025-08-21 16:42:08
1,32.1,64.8,2025-08-21 16:42:13
1,25.8,52.8,2025-08-21 16:42:18
1,26.4,69.0,2025-08-21 16:42:23
1,26.7,61.3,2025-08-21 16:42:28
1,32.3,56.3,2025-08-21 16:42:33
1,29.7,53.2,2025-08-21 16:42:38
1,30.6,58.3,2025-08-21 16:42:43
1,31.8,52.7,2025-08-21 16:42:48
1,30.7,59.0,2025-08-21 16:42:53
1,31.3,60.4,2025-08-21 16:42:58
1,27.9,68.4,2025-08-21 16:43:03
1,33.4,58.8,2025-08-21 16:43:08
1,26.6,61.9,2025-08-21 16:43:13
1,32.4,54.0,2025-08-21 16:43:18
1,29.4,66.4,2025-08-21 16:43:23
1,32.6,50.4,2025-08-21 16:43:28
1,27.5,64.0,2025-08-21 16:43:33
1,25.0,56.5,2025-08-21 16:43:38
